Ид сделки;External ID;Синтаксис компании
8796;__export__.crm_lead_BXDeal_8796;__export__.res_partner_BXCompany_
8788;__export__.crm_lead_BXDeal_8788;__export__.res_partner_BXCompany_
8784;__export__.crm_lead_BXDeal_8784;__export__.res_partner_BXCompany_
7863;__export__.crm_lead_BXDeal_7863;__export__.res_partner_BXCompany_
8794;__export__.crm_lead_BXDeal_8794;__export__.res_partner_BXCompany_
8652;__export__.crm_lead_BXDeal_8652;__export__.res_partner_BXCompany_
8614;__export__.crm_lead_BXDeal_8614;__export__.res_partner_BXCompany_
8786;__export__.crm_lead_BXDeal_8786;__export__.res_partner_BXCompany_
8584;__export__.crm_lead_BXDeal_8584;__export__.res_partner_BXCompany_
5343;__export__.crm_lead_BXDeal_5343;__export__.res_partner_BXCompany_
8708;__export__.crm_lead_BXDeal_8708;__export__.res_partner_BXCompany_
8142;__export__.crm_lead_BXDeal_8142;__export__.res_partner_BXCompany_
8712;__export__.crm_lead_BXDeal_8712;__export__.res_partner_BXCompany_
8726;__export__.crm_lead_BXDeal_8726;__export__.res_partner_BXCompany_
8736;__export__.crm_lead_BXDeal_8736;__export__.res_partner_BXCompany_
8774;__export__.crm_lead_BXDeal_8774;__export__.res_partner_BXCompany_
8422;__export__.crm_lead_BXDeal_8422;__export__.res_partner_BXCompany_
6645;__export__.crm_lead_BXDeal_6645;__export__.res_partner_BXCompany_
7351;__export__.crm_lead_BXDeal_7351;__export__.res_partner_BXCompany_
8348;__export__.crm_lead_BXDeal_8348;__export__.res_partner_BXCompany_
4629;__export__.crm_lead_BXDeal_4629;__export__.res_partner_BXCompany_
6893;__export__.crm_lead_BXDeal_6893;__export__.res_partner_BXCompany_
8760;__export__.crm_lead_BXDeal_8760;__export__.res_partner_BXCompany_
5421;__export__.crm_lead_BXDeal_5421;__export__.res_partner_BXCompany_
8718;__export__.crm_lead_BXDeal_8718;__export__.res_partner_BXCompany_
8710;__export__.crm_lead_BXDeal_8710;__export__.res_partner_BXCompany_
8728;__export__.crm_lead_BXDeal_8728;__export__.res_partner_BXCompany_
8642;__export__.crm_lead_BXDeal_8642;__export__.res_partner_BXCompany_
8600;__export__.crm_lead_BXDeal_8600;__export__.res_partner_BXCompany_
8604;__export__.crm_lead_BXDeal_8604;__export__.res_partner_BXCompany_
8606;__export__.crm_lead_BXDeal_8606;__export__.res_partner_BXCompany_
8608;__export__.crm_lead_BXDeal_8608;__export__.res_partner_BXCompany_
8622;__export__.crm_lead_BXDeal_8622;__export__.res_partner_BXCompany_
8626;__export__.crm_lead_BXDeal_8626;__export__.res_partner_BXCompany_
8628;__export__.crm_lead_BXDeal_8628;__export__.res_partner_BXCompany_
8630;__export__.crm_lead_BXDeal_8630;__export__.res_partner_BXCompany_
8624;__export__.crm_lead_BXDeal_8624;__export__.res_partner_BXCompany_
8610;__export__.crm_lead_BXDeal_8610;__export__.res_partner_BXCompany_
8616;__export__.crm_lead_BXDeal_8616;__export__.res_partner_BXCompany_
8706;__export__.crm_lead_BXDeal_8706;__export__.res_partner_BXCompany_
4681;__export__.crm_lead_BXDeal_4681;__export__.res_partner_BXCompany_
8632;__export__.crm_lead_BXDeal_8632;__export__.res_partner_BXCompany_
8636;__export__.crm_lead_BXDeal_8636;__export__.res_partner_BXCompany_
8640;__export__.crm_lead_BXDeal_8640;__export__.res_partner_BXCompany_
8644;__export__.crm_lead_BXDeal_8644;__export__.res_partner_BXCompany_
8648;__export__.crm_lead_BXDeal_8648;__export__.res_partner_BXCompany_
